pair_family,pair_id,source_task,target_task,num_experts,top_k,fixed_k,mean_acc,std_acc,mean_delta_vs_dynamic,num_runs
p03,p03_trees_to_flowers,trees,flowers,8,4,0,0.5899999990463257,,0.5899999990463257,1
p03,p03_trees_to_flowers,trees,flowers,8,4,1,0.6079999938011169,,0.6079999938011169,1
p03,p03_trees_to_flowers,trees,flowers,8,4,2,0.5880000033378601,,0.5880000033378601,1
p03,p03_trees_to_flowers,trees,flowers,8,4,3,0.6280000052452087,,0.6280000052452087,1
p03,p03_trees_to_flowers,trees,flowers,8,4,4,0.6039999961853028,,0.6039999961853028,1
p03,p03_trees_to_flowers,trees,flowers,16,4,0,0.621999994277954,,0.621999994277954,1
p03,p03_trees_to_flowers,trees,flowers,16,4,1,0.619999994277954,,0.619999994277954,1
p03,p03_trees_to_flowers,trees,flowers,16,4,2,0.6020000033378601,,0.6020000033378601,1
p03,p03_trees_to_flowers,trees,flowers,16,4,3,0.5859999966621399,,0.5859999966621399,1
p03,p03_trees_to_flowers,trees,flowers,16,4,4,0.6079999990463257,,0.6079999990463257,1
p03,p03_trees_to_flowers,trees,flowers,16,6,0,0.5919999942779541,,0.5919999942779541,1
p03,p03_trees_to_flowers,trees,flowers,16,6,1,0.6140000033378601,,0.6140000033378601,1
p03,p03_trees_to_flowers,trees,flowers,16,6,2,0.622000005722046,,0.622000005722046,1
p03,p03_trees_to_flowers,trees,flowers,16,6,4,0.6060000033378601,,0.6060000033378601,1
p03,p03_trees_to_flowers,trees,flowers,16,6,6,0.6180000033378601,,0.6180000033378601,1
p03,p03_trees_to_flowers,trees,flowers,16,8,0,0.6099999942779541,,0.6099999942779541,1
p03,p03_trees_to_flowers,trees,flowers,16,8,1,0.6059999942779541,,0.6059999942779541,1
p03,p03_trees_to_flowers,trees,flowers,16,8,2,0.6219999966621399,,0.6219999966621399,1
p03,p03_trees_to_flowers,trees,flowers,16,8,4,0.6200000009536744,,0.6200000009536744,1
p03,p03_trees_to_flowers,trees,flowers,16,8,6,0.6120000033378601,,0.6120000033378601,1
p03,p03_trees_to_flowers,trees,flowers,16,8,8,0.6180000057220459,,0.6180000057220459,1
p03,p03_trees_to_flowers,trees,flowers,32,4,0,0.5499999947547912,,0.5499999947547912,1
p03,p03_trees_to_flowers,trees,flowers,32,4,1,0.584000006198883,,0.584000006198883,1
p03,p03_trees_to_flowers,trees,flowers,32,4,2,0.5760000014305114,,0.5760000014305114,1
p03,p03_trees_to_flowers,trees,flowers,32,4,3,0.566000006198883,,0.566000006198883,1
p03,p03_trees_to_flowers,trees,flowers,32,4,4,0.5619999947547912,,0.5619999947547912,1
p03,p03_trees_to_flowers,trees,flowers,32,6,0,0.5400000014305115,,0.5400000014305115,1
p03,p03_trees_to_flowers,trees,flowers,32,6,1,0.5759999966621399,,0.5759999966621399,1
p03,p03_trees_to_flowers,trees,flowers,32,6,2,0.5720000038146973,,0.5720000038146973,1
p03,p03_trees_to_flowers,trees,flowers,32,6,4,0.5559999971389771,,0.5559999971389771,1
p03,p03_trees_to_flowers,trees,flowers,32,6,6,0.568000006198883,,0.568000006198883,1
p03,p03_trees_to_flowers,trees,flowers,32,8,0,0.5839999971389771,,0.5839999971389771,1
p03,p03_trees_to_flowers,trees,flowers,32,8,1,0.5320000019073486,,0.5320000019073486,1
p03,p03_trees_to_flowers,trees,flowers,32,8,2,0.5539999947547912,,0.5539999947547912,1
p03,p03_trees_to_flowers,trees,flowers,32,8,4,0.5419999947547912,,0.5419999947547912,1
p03,p03_trees_to_flowers,trees,flowers,32,8,6,0.5519999942779541,,0.5519999942779541,1
p03,p03_trees_to_flowers,trees,flowers,32,8,8,0.6299999938011169,,0.6299999938011169,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,8,4,0,0.4679999976158142,,0.4679999976158142,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,8,4,1,0.4720000023841857,,0.4720000023841857,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,8,4,2,0.4799999952316284,,0.4799999952316284,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,8,4,3,0.5000000002384186,,0.5000000002384186,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,8,4,4,0.506,,0.506,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,4,0,0.4939999978542327,,0.4939999978542327,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,4,1,0.5039999978542328,,0.5039999978542328,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,4,2,0.5199999952316284,,0.5199999952316284,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,4,3,0.4699999976158142,,0.4699999976158142,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,4,4,0.5140000019073486,,0.5140000019073486,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,6,0,0.5000000023841857,,0.5000000023841857,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,6,1,0.4880000028610229,,0.4880000028610229,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,6,2,0.4960000023841858,,0.4960000023841858,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,6,4,0.4839999980926514,,0.4839999980926514,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,6,6,0.4800000023841858,,0.4800000023841858,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,8,0,0.4600000028610229,,0.4600000028610229,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,8,1,0.4899999976158142,,0.4899999976158142,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,8,2,0.488,,0.488,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,8,4,0.5040000002384186,,0.5040000002384186,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,8,6,0.5100000042915345,,0.5100000042915345,1
p04,p04_insects_to_non_insect_invertebrates,insects,non_insect_invertebrates,16,8,8,0.5040000061988831,,0.5040000061988831,1
