direction,epoch_budget,E,K,F,mean_runtime_sec,mean_runtime_diff_sec_vs_dynamic,mean_runtime_ratio_vs_dynamic,num_runs
vehicles2->vehicles1,100,16,4,1,100.932,1.9620000000000033,1.0198241891482267,1
vehicles2->vehicles1,100,16,4,2,98.916,-0.054000000000002046,0.9994543801151864,1
vehicles2->vehicles1,100,16,4,3,99.512,0.5420000000000016,1.005476406992018,1
vehicles2->vehicles1,100,16,4,4,97.035,-1.9350000000000023,0.98044862079418,1
vehicles2->vehicles1,100,16,6,1,99.076,-0.6940000000000026,0.9930440012027664,1
vehicles2->vehicles1,100,16,6,2,99.935,0.16500000000000625,1.0016538037486218,1
vehicles2->vehicles1,100,16,6,4,101.235,1.4650000000000034,1.0146837726771576,1
vehicles2->vehicles1,100,16,6,6,97.922,-1.847999999999999,0.9814773980154355,1
vehicles2->vehicles1,100,16,8,1,101.571,2.3810000000000002,1.0240044359310414,1
vehicles2->vehicles1,100,16,8,2,100.267,1.0769999999999982,1.0108579493900596,1
vehicles2->vehicles1,100,16,8,4,100.055,0.8650000000000091,1.0087206371610042,1
vehicles2->vehicles1,100,16,8,6,99.483,0.29300000000000637,1.002953926807138,1
vehicles2->vehicles1,100,16,8,8,98.718,-0.4719999999999942,0.9952414557919146,1
vehicles2->vehicles1,100,32,4,1,125.589,2.4650000000000034,1.020020467171307,1
vehicles2->vehicles1,100,32,4,2,126.383,3.2590000000000003,1.0264692505116793,1
vehicles2->vehicles1,100,32,4,3,125.457,2.3329999999999984,1.0189483772457035,1
vehicles2->vehicles1,100,32,4,4,123.31,0.18600000000000705,1.001510672167896,1
vehicles2->vehicles1,100,32,6,1,125.743,1.9959999999999951,1.0161296839519343,1
vehicles2->vehicles1,100,32,6,2,127.192,3.444999999999993,1.027839058724656,1
vehicles2->vehicles1,100,32,6,4,128.938,5.190999999999988,1.0419484916806063,1
vehicles2->vehicles1,100,32,6,6,123.498,-0.24899999999999523,0.9979878300080003,1
vehicles2->vehicles1,100,32,8,1,126.058,-0.6809999999999974,0.9946267526175842,1
vehicles2->vehicles1,100,32,8,2,127.875,1.1359999999999957,1.0089633025351312,1
vehicles2->vehicles1,100,32,8,4,125.736,-1.0030000000000001,0.9920860982018164,1
vehicles2->vehicles1,100,32,8,6,125.72,-1.0190000000000055,0.9919598545041384,1
vehicles2->vehicles1,100,32,8,8,123.521,-3.2180000000000035,0.9746092363045313,1
